"","X","Y","OBJECTID","ADD_ID_HC","ANUMBER","ANUMBERSUF","ST_PRE_MOD","ST_PRE_DIR","ST_PRE_TYP","ST_NAME","ST_POS_TYP","ST_POS_DIR","ST_POS_MOD","SUB_AD_TYP","SUB_AD_ID","CONCAT_AD","MUNI_NAME","ZIP","ZIP4","LANDMARK_1","LANDMARK_2","FLR_LVL","ADD_TYPE","LONGITUDE","LATITUDE","PID","GlobalID","number"
"3821",481715.1074,4975743.6347,275370,75485,3733,NA,NA,NA,NA,"28th","Avenue","South",NA,NA,NA,"3733 28th Avenue South","Minneapolis",55406,NA,NA,NA,0,"Centroid",-93.2317,44.9349,"0102824440064","{32FF07F7-E117-48B5-967E-50C94DA06519}","3"
"3822",480554.6497,4986786.7472,275423,75239,3633,NA,NA,NA,NA,"Central","Avenue","Northeast",NA,NA,NA,"3633 Central Avenue Northeast","Minneapolis",55418,NA,NA,NA,0,"Centroid",-93.2469,45.0343,"0102924220022","{1C647506-8BEE-4C7F-B546-D37066C685E7}","3"
"3823",481152.1412,4986794.2389,275427,75010,3633,NA,NA,NA,NA,"Buchanan","Street","Northeast",NA,NA,NA,"3633 Buchanan Street Northeast","Minneapolis",55418,NA,NA,NA,0,"Centroid",-93.2393,45.0344,"0102924210121","{74A98B75-E1FC-4F5E-BA2B-0C76FA43A1CB}","3"
"3824",480553.2216,4986634.4441,275489,113825,3553,NA,NA,NA,NA,"Central","Avenue","Northeast",NA,NA,NA,"3553 Central Avenue Northeast","Minneapolis",55418,NA,NA,NA,0,"Centroid",-93.2469,45.0329,"0102924220149","{2D0813DB-FFA7-4D4C-892C-4271F9CBA50D}","3"
"3825",481243.5287,4976823.3595,275514,125926,2323,NA,NA,NA,NA,"32nd","Street","East",NA,NA,NA,"2323 32nd Street East","Minneapolis",55406,NA,NA,NA,0,"Centroid",-93.2378,44.9446,"0102824240039","{A07AD2AA-FC77-40AA-B094-A69D32350BD8}","3"
"3826",481707.8235,4976293.0964,275519,78803,3463,NA,NA,NA,NA,"Hiawatha","Avenue",NA,NA,NA,NA,"3463 Hiawatha Avenue","Minneapolis",55406,NA,NA,NA,0,"Centroid",-93.2319,44.9398,"0102824410140","{FA694411-2EF2-4242-A85B-7FC1ACF121FC}","3"
"3827",481648.5501,4976797.9799,275525,125120,3213,NA,NA,NA,NA,"Snelling","Avenue",NA,NA,NA,NA,"3213 Snelling Avenue","Minneapolis",55406,NA,NA,NA,0,"Centroid",-93.2326,44.9444,"0102824130015","{DA1F8370-8B2B-4011-A727-F4EF4759EFAF}","3"
"3828",480546.5799,4985557.8934,275580,89424,3033,NA,NA,NA,NA,"Central","Avenue","Northeast",NA,NA,NA,"3033 Central Avenue Northeast","Minneapolis",55418,NA,NA,NA,0,"Centroid",-93.2469,45.0232,"0102924330094","{A372B4AF-DE4E-4B4A-BF14-8232728EEB20}","3"
"3829",481852.9909,4985927.5799,275582,123191,3223,NA,NA,NA,NA,"Cleveland","Street","Northeast",NA,NA,NA,"3223 Cleveland Street Northeast","Minneapolis",55418,NA,NA,NA,0,"Centroid",-93.2304,45.0266,"0102924410187","{08760007-E980-4763-8B58-1E7B34F58BC3}","3"
"3830",480749.8552,4986587.6511,275592,121939,3543,NA,NA,NA,NA,"Polk","Street","Northeast",NA,NA,NA,"3543 Polk Street Northeast","Minneapolis",55418,NA,NA,NA,0,"Centroid",-93.2444,45.0325,"0102924220093","{C23BC62E-C776-4102-97BF-5F0DD7A4C707}","3"
"3831",481892.7066,4976608.6478,275610,114321,3313,NA,NA,NA,NA,"29th","Avenue","South",NA,NA,NA,"3313 29th Avenue South","Minneapolis",55406,NA,NA,NA,0,"Centroid",-93.2295,44.9427,"0102824140174","{1A42AE4C-6635-489B-8EB6-F2D69795F03D}","3"
"3832",481047.3284,4985720.8857,275674,88446,3123,NA,NA,NA,NA,"Pierce","Street","Northeast",NA,NA,NA,"3123 Pierce Street Northeast","Minneapolis",55418,NA,NA,NA,0,"Centroid",-93.2406,45.0247,"0102924310141","{B4F63A86-3894-4D3D-BBAE-368A489EF6AF}","3"
"3833",481202.8072,4985269.3045,275716,111930,1423,NA,NA,NA,NA,"29th","Avenue","Northeast",NA,NA,NA,"1423 29th Avenue Northeast","Minneapolis",55418,NA,NA,NA,0,"Centroid",-93.2386,45.0206,"0102924340111","{82C2B32B-7844-421D-BBF4-0FBF7A0F1F63}","3"
"3834",479716.1973,4975928.9246,275723,86120,3633,NA,NA,NA,NA,"12th","Avenue","South",NA,NA,NA,"3633 12th Avenue South","Minneapolis",55407,NA,NA,NA,0,"Centroid",-93.2571,44.9365,"0202824430100","{12DDCE8A-533C-4205-9572-C647CD14A98B}","3"
"3835",479147.4556,4986894.129,275766,130521,3653,NA,NA,NA,NA,"2 1/2","Street","Northeast",NA,NA,NA,"3653 2 1/2 Street Northeast","Minneapolis",55418,NA,NA,NA,0,"Centroid",-93.2647,45.0352,"0202924220037","{90C625D7-9806-4250-B547-1A6071C14659}","3"
"3836",479910.2571,4976617.6455,275789,133612,3303,NA,NA,NA,NA,"14th","Avenue","South",NA,NA,NA,"3303 14th Avenue South","Minneapolis",55407,NA,NA,NA,0,"Centroid",-93.2547,44.9427,"0202824130104","{7ECAD056-8869-4E59-B9B8-5A015DB3DFC3}","3"
"3837",476899.3876,4977124.5227,275791,89208,3033,NA,NA,NA,NA,"Dupont","Avenue","South",NA,NA,NA,"3033 Dupont Avenue South","Minneapolis",55408,NA,NA,NA,0,"Centroid",-93.2928,44.9472,"0402824110085","{CFE47CDB-7308-4D1D-ABF7-5D6B502B4FEC}","3"
"3838",477501.7556,4977195.9243,275802,91596,3013,NA,NA,NA,NA,"Harriet","Avenue",NA,NA,NA,NA,"3013 Harriet Avenue","Minneapolis",55408,NA,NA,NA,0,"Centroid",-93.2852,44.9479,"0302824220046","{7474F653-EA34-4B45-BA38-69C9D559A46A}","3"
"3839",480345.6667,4986828.1259,275803,94464,3623,NA,NA,NA,NA,"Architect","Avenue",NA,NA,NA,NA,"3623 Architect Avenue","Minneapolis",55418,NA,NA,NA,0,"Centroid",-93.2495,45.0346,"0202924110080","{9F3D823A-4F9B-40ED-8168-4941A689F33D}","3"
"3840",476695.4118,4976927.6206,275842,92642,3133,NA,NA,NA,NA,"Fremont","Avenue","South",NA,NA,NA,"3133 Fremont Avenue South","Minneapolis",55408,NA,NA,NA,0,"Centroid",-93.2954,44.9454,"0402824120160","{72B35307-6011-4D46-A625-4D970898A875}","3"
"3841",476095.2528,4977241.813,275846,145688,1623,NA,NA,NA,NA,"Lake","Street","West",NA,NA,NA,"1623 Lake Street West","Minneapolis",55408,NA,NA,NA,0,"Centroid",-93.303,44.9482,"0402824210042","{8D1DF1DC-FAFA-4F0A-8831-C1D47C9E69C6}","3"
"3842",477079.5143,4985587.5128,275899,97677,3743,NA,NA,NA,NA,"Bryant","Avenue","North",NA,NA,NA,"3743 Bryant Avenue North","Minneapolis",55412,NA,NA,NA,0,"Centroid",-93.2909,45.0234,"0402924440061","{3ED6CE3E-05A7-40AF-9B80-5EA931A3D9B5}","3"
"3843",477708.6773,4976321.3356,275911,103178,3443,NA,NA,NA,NA,"Pleasant","Avenue",NA,NA,NA,NA,"3443 Pleasant Avenue","Minneapolis",55408,NA,NA,NA,0,"Centroid",-93.2825,44.94,"0302824310089","{76F0BE6A-6498-4073-A20F-BA86AEA58B9B}","3"
"3844",475985.449,4976931.353,275921,107826,3133,NA,NA,"East",NA,"Bde Maka Ska","Parkway",NA,NA,NA,NA,"3133 East Bde Maka Ska Parkway","Minneapolis",55408,NA,"Lake Calhoun",NA,0,"Centroid",-93.3044,44.9454,"0402824220072","{58D204E6-A7EE-4FA4-BB9B-E15E9698D91E}","3"
"3845",480114.97,4975881.7959,275940,99518,3653,NA,NA,NA,NA,"Bloomington","Avenue",NA,NA,NA,NA,"3653 Bloomington Avenue","Minneapolis",55407,NA,NA,NA,0,"Centroid",-93.252,44.9361,"0202824440223","{27FB314D-CAE4-485A-83CF-1B1AB5AC6335}","3"
"3846",475467.6177,4986848.9435,275969,111649,4343,NA,NA,NA,NA,"Russell","Avenue","North",NA,NA,NA,"4343 Russell Avenue North","Minneapolis",55412,NA,NA,NA,0,"Centroid",-93.3115,45.0347,"0502924110188","{A030DDBB-55EA-4971-B67C-62257814EBAC}","3"
"3847",479410.3938,4984183.4296,276083,61208,2223,NA,NA,NA,NA,"4th","Street","Northeast",NA,NA,NA,"2223 4th Street Northeast","Minneapolis",55418,NA,NA,NA,0,"Structure",-93.2613,45.0108,"1102924310131","{A7F5D51C-F834-40BD-81C2-818E2738C9BB}","3"
"3848",476373.3188,4981082.3442,276145,69846,503,NA,NA,NA,NA,"Irving","Avenue","North",NA,NA,NA,"503 Irving Avenue North","Minneapolis",55405,NA,"HARRISON EDUCATION CENTER",NA,0,"Structure",-93.2997,44.9828,"2102924310086","{0D742FE6-4D65-4236-9A26-46A4C1D0DFF2}","3"
"3849",476668.1975,4979500.0303,276155,68137,13,NA,NA,NA,NA,"Summit","Place",NA,NA,NA,NA,"13 Summit Place","Minneapolis",55403,NA,NA,NA,0,"Structure",-93.2959,44.9686,"2802924420126","{0EA0E128-8FCC-4EAC-BDE0-5085A8DB78C4}","3"
"3850",478624.9727,4983537.5413,276164,68866,1633,NA,NA,NA,NA,"Marshall","Street","Northeast",NA,NA,NA,"1633 Marshall Street Northeast","Minneapolis",55413,NA,NA,NA,0,"Structure",-93.2712,45.005,"1502924110028","{037C5C61-FDE1-4BBC-8314-7419C8BDC384}","3"
"3851",475369.8786,4972344.1643,276205,66989,2503,NA,NA,NA,NA,"Robbins","Street",NA,NA,NA,NA,"2503 Robbins Street","Minneapolis",55410,NA,NA,NA,0,"Centroid",-93.312,44.9041,"2002824110143","{57332DBD-A854-4722-B2D5-F6DD4360B35C}","3"
