"","address","closest_store","transit_time","latitude","longitude"
"49","2853 43rd Avenue South, Minneapolis, MN 55406","GLENDALE FOOD SHELF","39 mins",44.9503,-93.2111
"50","1913 Ewing Avenue South, Minneapolis, MN 55416","JOYCE FOOD SHELF","47 mins",44.9647,-93.3267
"51","2843 James Avenue South, Minneapolis, MN 55408","JOYCE FOOD SHELF","13 mins",44.9514,-93.303
"52","2833 36th Avenue South, Minneapolis, MN 55406","GLENDALE FOOD SHELF","37 mins",44.9509,-93.22
"53","2753 42nd Avenue South, Minneapolis, MN 55406","GLENDALE FOOD SHELF","39 mins",44.9521,-93.2124
"54","2553 33rd Avenue South, Minneapolis, MN 55406","GLENDALE FOOD SHELF","30 mins",44.9558,-93.2236
"55","233 Upton Avenue South, Minneapolis, MN 55405","LAO ASSISTANCE CENTER OF MINNESOTA","15 mins",44.9743,-93.3144
"56","2853 37th Avenue South, Minneapolis, MN 55406","GLENDALE FOOD SHELF","39 mins",44.9504,-93.2188
"57","1113 35th Street East, Minneapolis, MN 55407","JERICO ROAD MINISTRIES","13 mins",44.9394,-93.2579
"58","2633 34th Avenue South, Minneapolis, MN 55406","GLENDALE FOOD SHELF","33 mins",44.9545,-93.2226
"59","2123 Humboldt Avenue South, Minneapolis, MN 55405","DIVISION OF INDIAN WORK","23 mins",44.9612,-93.2978
"60","2943 46th Avenue South, Minneapolis, MN 55406","TEAMSTERS HELPING TEAMSTERS FOOD","30 mins",44.9491,-93.2072
"61","2813 40th Avenue South, Minneapolis, MN 55406","GLENDALE FOOD SHELF","39 mins",44.9514,-93.2149
"62","33 Park Lane, Minneapolis, MN 55416","JOYCE FOOD SHELF","24 mins",44.9549,-93.3189
"63","2433 35th Avenue South, Minneapolis, MN 55406","GLENDALE FOOD SHELF","26 mins",44.9581,-93.2205
"64","2753 Ewing Avenue South, Minneapolis, MN 55416","JOYCE FOOD SHELF","22 mins",44.9517,-93.3271
"65","2633 38th Avenue South, Minneapolis, MN 55406","GLENDALE FOOD SHELF","32 mins",44.9545,-93.2175
"66","2753 40th Avenue South, Minneapolis, MN 55406","GLENDALE FOOD SHELF","39 mins",44.9521,-93.2149
"67","93 Bedford Street Southeast, Minneapolis, MN 55414","TEAMSTERS HELPING TEAMSTERS FOOD","11 mins",44.9663,-93.2084
"68","2243 Minneapolis Avenue, Minneapolis, MN 55406","GLENDALE FOOD SHELF","23 mins",44.9603,-93.2237
"69","183 Malcolm Avenue Southeast, Minneapolis, MN 55414","GLENDALE FOOD SHELF","12 mins",44.9663,-93.2154
"70","83 Bedford Street Southeast, Minneapolis, MN 55414","TEAMSTERS HELPING TEAMSTERS FOOD","11 mins",44.9667,-93.2086
"71","53 Queen Avenue South, Minneapolis, MN 55405","LAO ASSISTANCE CENTER OF MINNESOTA","25 mins",44.9756,-93.3093
"72","2933 35th Avenue South, Minneapolis, MN 55406","GLENDALE FOOD SHELF","40 mins",44.9491,-93.2213
"73","1233 Edlin Place, Minneapolis, MN 55416","LAO ASSISTANCE CENTER OF MINNESOTA","21 mins",44.9668,-93.3205
"74","2853 40th Avenue South, Minneapolis, MN 55406","GLENDALE FOOD SHELF","41 mins",44.9503,-93.2149
"75","1113 25th Street East, Minneapolis, MN 55404","PILLSBURY UNITED COMM WAITE HOUSE","4 mins",44.9572,-93.258
"76","2213 22nd Avenue South, Minneapolis, MN 55404","LITTLE KITCHEN FOOD SHELF","14 mins",44.9604,-93.2406
"77","2813 17th Avenue South, Minneapolis, MN 55407","ISUROON","5 mins",44.9515,-93.2495
"78","2723 Grand Avenue South, Minneapolis, MN 55408","DIVISION OF INDIAN WORK","12 mins",44.9528,-93.2839
"79","2913 12th Avenue South, Minneapolis, MN 55407","CLUES","7 mins",44.9497,-93.2572
"80","2933 36th Avenue South, Minneapolis, MN 55406","GLENDALE FOOD SHELF","38 mins",44.9491,-93.22
"81","2913 Drew Avenue South, Minneapolis, MN 55416","JOYCE FOOD SHELF","18 mins",44.9493,-93.3259
"82","2863 East Lake Of The Isles Parkway, Minneapolis, MN 55408","JOYCE FOOD SHELF","24 mins",44.9508,-93.3044
"83","2133 Minneapolis Avenue, Minneapolis, MN 55406","GLENDALE FOOD SHELF","22 mins",44.9615,-93.2255
"84","2743 13th Avenue South, Minneapolis, MN 55407","ISUROON","12 mins",44.9523,-93.2559
"85","2733 Harriet Avenue, Minneapolis, MN 55408","DIVISION OF INDIAN WORK","9 mins",44.9523,-93.2852
"86","3003 24th Street East, Minneapolis, MN 55406","GLENDALE FOOD SHELF","25 mins",44.9589,-93.2279
"87","2823 30th Avenue South, Minneapolis, MN 55406","ISUROON","18 mins",44.9511,-93.228
"88","163 Orlin Avenue Southeast, Minneapolis, MN 55414","TEAMSTERS HELPING TEAMSTERS FOOD","10 mins",44.9667,-93.2082
"89","3103 Franklin Avenue East, Minneapolis, MN 55406","GLENDALE FOOD SHELF","19 mins",44.9625,-93.2265
"90","1933 River Terrace East, Minneapolis, MN 55414","TEAMSTERS HELPING TEAMSTERS FOOD","21 mins",44.961,-93.2125
"91","53 Sheridan Avenue South, Minneapolis, MN 55405","LAO ASSISTANCE CENTER OF MINNESOTA","16 mins",44.9756,-93.3118
"92","3113 22nd Street East, Minneapolis, MN 55406","GLENDALE FOOD SHELF","22 mins",44.9607,-93.2262
"93","2003 Queen Avenue South, Minneapolis, MN 55405","DIVISION OF INDIAN WORK","40 mins",44.9627,-93.3092
"94","2933 29th Avenue South, Minneapolis, MN 55406","SALVATION ARMY - SOUTH","13 mins",44.949,-93.2295
"95","2533 Cedar Avenue South, Minneapolis, MN 55404","ISUROON","15 mins",44.9561,-93.2469
"96","253 Sheridan Avenue South, Minneapolis, MN 55405","LAO ASSISTANCE CENTER OF MINNESOTA","13 mins",44.9738,-93.3118
"97","2723 14th Avenue South, Minneapolis, MN 55407","ISUROON","11 mins",44.9527,-93.2546
"98","2513 14th Avenue South, Minneapolis, MN 55404","PILLSBURY UNITED COMM WAITE HOUSE","7 mins",44.9568,-93.2546
"99","2733 39th Avenue South, Minneapolis, MN 55406","GLENDALE FOOD SHELF","36 mins",44.9527,-93.2162
"100","103 Warwick Street Southeast, Minneapolis, MN 55414","TEAMSTERS HELPING TEAMSTERS FOOD","13 mins",44.9645,-93.2112
"101","2733 40th Avenue South, Minneapolis, MN 55406","GLENDALE FOOD SHELF","38 mins",44.9527,-93.2149
"102","2813 5th Avenue South, Minneapolis, MN 55408","CLUES","11 mins",44.9514,-93.2687
"103","2213 24th Avenue South, Minneapolis, MN 55406","LITTLE KITCHEN FOOD SHELF","17 mins",44.9604,-93.2374
"104","1033 Thomas Avenue South, Minneapolis, MN 55405","LAO ASSISTANCE CENTER OF MINNESOTA","24 mins",44.9689,-93.3141
"105","253 Upton Avenue South, Minneapolis, MN 55405","LAO ASSISTANCE CENTER OF MINNESOTA","14 mins",44.9738,-93.3144
"106","3403 Saint Paul Avenue, Minneapolis, MN 55416","JOYCE FOOD SHELF","23 mins",44.9516,-93.3219
"107","2203 Bloomington Avenue, Minneapolis, MN 55404","PILLSBURY UNITED COMM WAITE HOUSE","9 mins",44.9607,-93.252
"108","2513 22nd Street East, Minneapolis, MN 55406","LITTLE KITCHEN FOOD SHELF","17 mins",44.9607,-93.2355
"109","2313 Minneapolis Avenue, Minneapolis, MN 55406","GLENDALE FOOD SHELF","24 mins",44.9599,-93.2231
"110","2723 Harriet Avenue, Minneapolis, MN 55408","DIVISION OF INDIAN WORK","10 mins",44.9527,-93.2852
"111","2103 23rd Avenue South, Minneapolis, MN 55404","LITTLE KITCHEN FOOD SHELF","13 mins",44.9618,-93.2389
"112","2523 16th Avenue South, Minneapolis, MN 55404","PILLSBURY UNITED COMM WAITE HOUSE","12 mins",44.9564,-93.2508
"113","2213 Milwaukee Avenue, Minneapolis, MN 55404","LITTLE KITCHEN FOOD SHELF","14 mins",44.9604,-93.2399
"114","2723 16th Avenue South, Minneapolis, MN 55407","ISUROON","7 mins",44.9529,-93.2508
"115","4323 Pillsbury Avenue, Minneapolis, MN 55409","INCARNATION","13 mins",44.9243,-93.2815
"116","2723 Dean Parkway, Minneapolis, MN 55416","JOYCE FOOD SHELF","21 mins",44.9539,-93.3144
"117","2513 Garfield Avenue, Minneapolis, MN 55405","GROVELAND FOOD SHELF","13 mins",44.9568,-93.2864
"118","2413 16th Avenue South, Minneapolis, MN 55404","PILLSBURY UNITED COMM WAITE HOUSE","9 mins",44.9585,-93.2508
"119","2923 13th Avenue South, Minneapolis, MN 55407","ISUROON","8 mins",44.9493,-93.256
"120","1063 13th Avenue Southeast, Minneapolis, MN 55414","GOOD WORK FOOD SHELF.","22 mins",44.9898,-93.2337
"121","1023 18th Avenue Southeast, Minneapolis, MN 55414","GLENDALE FOOD SHELF","30 mins",44.9885,-93.2273
"122","2833 34th Avenue South, Minneapolis, MN 55406","GLENDALE FOOD SHELF","40 mins",44.9509,-93.2226
"123","3403 28th Street West, Minneapolis, MN 55416","JOYCE FOOD SHELF","24 mins",44.9529,-93.3222
"124","2423 22nd Street West, Minneapolis, MN 55405","JOYCE FOOD SHELF","34 mins",44.9599,-93.3117
"125","2733 11th Avenue South, Minneapolis, MN 55407","CLUES","10 mins",44.9527,-93.2584
"126","2723 41st Avenue South, Minneapolis, MN 55406","GLENDALE FOOD SHELF","38 mins",44.9527,-93.2137
"127","53 Russell Avenue South, Minneapolis, MN 55405","LAO ASSISTANCE CENTER OF MINNESOTA","26 mins",44.9756,-93.3105
"128","2533 32nd Avenue South, Minneapolis, MN 55406","GLENDALE FOOD SHELF","29 mins",44.9563,-93.2251
"129","3613 26th Street East, Minneapolis, MN 55406","GLENDALE FOOD SHELF","30 mins",44.9553,-93.2197
"130","83 Barton Avenue Southeast, Minneapolis, MN 55414","TEAMSTERS HELPING TEAMSTERS FOOD","10 mins",44.9658,-93.2141
"131","1303 28th Street East, Minneapolis, MN 55407","ISUROON","11 mins",44.9518,-93.2559
"132","3953 Garfield Avenue, Minneapolis, MN 55409","INCARNATION","9 mins",44.9307,-93.2866
"133","2843 Burnham Boulevard, Minneapolis, MN 55416","JOYCE FOOD SHELF","30 mins",44.9576,-93.3184
"134","433 Cedar Lake Road South, Minneapolis, MN 55405","LAO ASSISTANCE CENTER OF MINNESOTA","26 mins",44.9728,-93.3097
"135","2733 Ewing Avenue South, Minneapolis, MN 55416","JOYCE FOOD SHELF","23 mins",44.9524,-93.3271
"136","2533 33rd Avenue South, Minneapolis, MN 55406","GLENDALE FOOD SHELF","29 mins",44.9563,-93.2236
"137","453 Cedar Lake Road South, Minneapolis, MN 55405","LAO ASSISTANCE CENTER OF MINNESOTA","15 mins",44.9726,-93.3104
