id,HMMReg2,HMMReg1
319,0.07,0.93
320,0.211,0.789
321,0.031,0.969
322,0.122,0.878
323,0.125,0.875
324,0.127,0.873
325,0.047,0.953
326,0.142,0.858
327,0.121,0.879
328,0.033,0.967
329,0.026,0.974
330,0.054,0.946
331,0.055,0.945
332,0.072,0.928
333,0.025,0.975
334,0.031,0.969
335,0.037,0.963
336,0.134,0.866
337,0.089,0.911
338,0.189,0.811
339,0.168,0.832
340,0.051,0.949
341,0.205,0.795
342,0.242,0.758
343,0.134,0.866
344,0.255,0.745
345,0.167,0.833
346,0.091,0.909
347,0.185,0.815
348,0.166,0.834
349,0.093,0.907
350,0.045,0.955
351,0.06,0.94
352,0.059,0.941
353,0.033,0.967
354,0.034,0.966
355,0.355,0.645
356,0.279,0.721
357,0.077,0.923
358,0.115,0.885
359,0.006,0.994
360,0.013,0.987
361,0.057,0.943
362,0.202,0.798
363,0.226,0.774
364,0.165,0.835
365,0.152,0.848
366,0.34,0.66
367,0.061,0.939
368,0.372,0.628
369,0.061,0.939
370,0.039,0.961
371,0.013,0.987
372,0.18,0.82
373,0.018,0.982
374,0.125,0.875
375,0.02,0.98
376,0.192,0.808
377,0.06,0.94
378,0.047,0.953
379,0.055,0.945
380,0.035,0.965
381,0.078,0.922
382,0.016,0.984
383,0.067,0.933
384,0.007,0.993
385,0.008,0.992
386,0.009,0.991
387,0.039,0.961
388,0.015,0.985
389,0.02,0.98
390,0.011,0.989
391,0.023,0.977
392,0.294,0.706
393,0.235,0.765
394,0.411,0.589
395,0.302,0.698
396,0.202,0.798
397,0.219,0.781
398,0.256,0.744
399,0.235,0.765
400,0.351,0.649
401,0.36,0.64
402,0.365,0.635
403,0.284,0.716
404,0.275,0.725
405,0.284,0.716
406,0.304,0.696
407,0.342,0.658
408,0.36,0.64
409,0.331,0.669
410,0.463,0.537
411,0.264,0.736
412,0.486,0.514
413,0.431,0.569
414,0.533,0.467
415,0.483,0.517
416,0.363,0.637
417,0.396,0.604
418,0.519,0.481
419,0.379,0.621
420,0.273,0.727
421,0.302,0.698
422,0.48,0.52
423,0.356,0.644
424,0.281,0.719
425,0.385,0.615
426,0.571,0.429
427,0.559,0.441
428,0.614,0.386
429,0.563,0.437
430,0.421,0.579
431,0.292,0.708
432,0.402,0.598
433,0.435,0.565
434,0.662,0.338
435,0.844,0.156
436,0.614,0.386
437,0.736,0.264
438,0.748,0.252
439,0.499,0.501
440,0.648,0.352
441,0.64,0.36
442,0.586,0.414
443,0.401,0.599
444,0.565,0.435
445,0.801,0.199
446,0.309,0.691
447,0.36,0.64
448,0.309,0.691
449,0.617,0.383
450,0.477,0.523
451,0.305,0.695
452,0.414,0.586
453,0.565,0.435
454,0.318,0.682
455,0.241,0.759
456,0.32,0.68
457,0.273,0.727
458,0.276,0.724
459,0.411,0.589
460,0.128,0.872
461,0.212,0.788
462,0.472,0.528
463,0.102,0.898
464,0.145,0.855
465,0.511,0.489
466,0.332,0.668
467,0.374,0.626
468,0.169,0.831
469,0.076,0.924
470,0.065,0.935
471,0.422,0.578
472,0.477,0.523
473,0.53,0.47
474,0.437,0.563
475,0.372,0.628
476,0.396,0.604
477,0.405,0.595
478,0.097,0.903
479,0.034,0.966
480,0.26,0.74
481,0.398,0.602
482,0.553,0.447
483,0.471,0.529
484,0.444,0.556
485,0.363,0.637
486,0.351,0.649
487,0.661,0.339
488,0.463,0.537
489,0.494,0.506
490,0.544,0.456
491,0.318,0.682
492,0.508,0.492
493,0.743,0.257
494,0.546,0.454
495,0.686,0.314
496,0.681,0.319
497,0.618,0.382
498,0.317,0.683
499,0.472,0.528
500,0.704,0.296
501,0.984,0.016
502,0.32,0.68
503,0.596,0.404
504,0.564,0.436
505,0.753,0.247
506,0.376,0.624
507,0.632,0.368
508,0.477,0.523
509,0.669,0.331
510,0.347,0.653
511,0.625,0.375
512,0.572,0.428
513,0.651,0.349
514,0.913,0.087
515,0.57,0.43
516,0.422,0.578
517,0.896,0.104
518,0.426,0.574
519,0.297,0.703
520,0.73,0.27
521,0.402,0.598
522,0.872,0.128
523,0.782,0.218
524,0.279,0.721
525,0.489,0.511
526,0.692,0.308
527,0.355,0.645
528,0.392,0.608
529,0.7,0.3
530,0.587,0.413
531,0.62,0.38
532,0.684,0.316
533,0.561,0.439
534,0.635,0.365
535,0.725,0.275
536,0.668,0.332
537,0.561,0.439
538,0.472,0.528
539,0.699,0.301
540,0.566,0.434
541,0.543,0.457
542,0.666,0.334
543,0.485,0.515
544,0.442,0.558
545,0.386,0.614
546,0.538,0.462
547,0.519,0.481
548,0.919,0.081
549,0.775,0.225
550,0.727,0.273
551,0.797,0.203
552,0.809,0.191
553,0.598,0.402
554,0.734,0.266
555,0.696,0.304
556,0.695,0.305
557,0.677,0.323
558,0.701,0.299
559,0.912,0.088
560,0.593,0.407
561,0.899,0.101
562,0.887,0.113
563,0.762,0.238
564,0.604,0.396
565,0.64,0.36
566,0.968,0.032
567,0.882,0.118
568,0.859,0.141
569,0.616,0.384
570,0.627,0.373
571,0.597,0.403
572,0.484,0.516
573,0.539,0.461
574,0.492,0.508
575,0.467,0.533
576,0.523,0.477
577,0.562,0.438
578,0.611,0.389
579,0.631,0.369
580,0.583,0.417
581,0.845,0.155
582,0.271,0.729
583,0.466,0.534
584,0.595,0.405
585,0.862,0.138
586,0.464,0.536
587,0.724,0.276
588,0.688,0.312
589,0.637,0.363
590,0.536,0.464
591,0.56,0.44
592,0.461,0.539
593,0.921,0.079
594,0.976,0.024
595,0.933,0.067
596,0.947,0.053
597,0.822,0.178
598,0.962,0.038
599,0.941,0.059
600,0.968,0.032
601,0.947,0.053
602,0.967,0.033
603,0.921,0.079
604,0.943,0.057
605,0.921,0.079
606,0.98,0.02
607,0.987,0.013
608,0.986,0.014
609,0.982,0.018
610,0.982,0.018
611,0.854,0.146
612,0.977,0.023
613,0.985,0.015
614,0.981,0.019
615,0.978,0.022
616,0.973,0.027
617,0.957,0.043
618,0.682,0.318
619,0.703,0.297
620,0.872,0.128
621,0.692,0.308
622,0.921,0.079
623,0.77,0.23
624,0.949,0.051
625,0.847,0.153
626,0.634,0.366
627,0.705,0.295
628,0.764,0.236
629,0.75,0.25
630,0.736,0.264
631,0.757,0.243
632,0.778,0.222
633,0.911,0.089
634,0.839,0.161
635,0.805,0.195
636,0.845,0.155
637,0.615,0.385
638,0.684,0.316
639,0.591,0.409
